iter	RMSE
0	14.00072414
1	13.12068832
2	12.37442144
3	11.72702568
4	11.04190418
5	10.41900323
6	9.865180713
7	9.443251913
8	9.058840261
9	8.736958037
10	8.392145376
11	8.113214179
12	7.836362728
13	7.577014051
14	7.350283708
15	7.163668723
16	7.003643044
17	6.867310326
18	6.732720602
19	6.619166566
20	6.500947318
21	6.405582336
22	6.307981471
23	6.22231515
24	6.153731638
25	6.084001244
26	6.024818336
27	5.9708826
28	5.925233335
29	5.876131946
30	5.835920769
31	5.788750642
32	5.750597947
33	5.719066604
34	5.69417989
35	5.670090398
36	5.635965091
37	5.620608843
38	5.606122445
39	5.5839361
40	5.555968404
41	5.537012032
42	5.508573039
43	5.496597666
44	5.480502611
45	5.465003747
46	5.444422945
47	5.427743703
48	5.41005953
49	5.384792678
50	5.371513201
51	5.361000936
52	5.34997524
53	5.33944163
54	5.324294985
55	5.318187125
56	5.305588953
57	5.294061698
58	5.280449709
59	5.268080985
60	5.261395149
61	5.252345425
62	5.226695997
63	5.224045771
64	5.215833537
65	5.201450141
66	5.189962086
67	5.178636316
68	5.170429797
69	5.166738423
70	5.157885422
71	5.149327806
72	5.138006731
73	5.133176538
74	5.120307876
75	5.115256671
76	5.102078165
77	5.086308235
78	5.072938795
79	5.056536579
80	5.046213726
81	5.041096003
82	5.029440327
83	5.024221669
84	5.015575597
85	5.00896913
86	4.985504107
87	4.969683543
88	4.955614176
89	4.943603066
90	4.929005664
91	4.919795141
92	4.913044543
93	4.898482547
94	4.889039859
95	4.880640423
96	4.868903848
97	4.86332189
98	4.856251731
99	4.850450105
