iter	Passed	Remaining
0	1	140
1	2	118
2	3	106
3	4	100
4	5	106
5	6	107
6	8	106
7	9	107
8	10	104
9	11	102
10	12	100
11	13	98
12	14	96
13	15	95
14	16	93
15	17	91
16	18	91
17	19	89
18	20	88
19	21	87
20	22	86
21	23	84
22	24	82
23	25	81
24	26	80
25	28	80
26	29	80
27	30	79
28	32	78
29	33	78
30	34	76
31	35	75
32	36	74
33	37	73
34	39	72
35	40	71
36	41	70
37	42	68
38	43	67
39	44	66
40	45	65
41	46	64
42	47	63
43	48	62
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	58	54
52	60	53
53	61	51
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	71	41
63	71	40
64	72	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	101	7
93	103	6
94	103	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
